***NAMEDLABELSIDS***	06	32C
**BIAS**	0.00000000000000000000 0.63408523797988891602
TOK-3-lemma:nada	0.00000000000000000000 -0.03620803449302911758
TOK+1-lemma:que	0.00000000000000000000 -0.84092104434967041016
TOK+2-lemma:o_arbusto	0.00000000000000000000 -0.03533020708709955215
TOK+3-pos:ADVP	0.00000000000000000000 -0.12258516624569892883
TOK+3-lemma:não	0.00000000000000000000 -0.06997577659785747528
DEP-SUBJ-lemma:transparência	0.00000000000000000000 -0.03528599813580513000
DEP-SUBJ-sem:sem-am	0.00000000000000000000 -0.61007358133792877197
DEP-CDIR-lemma:passar	0.00000000000000000000 -0.03512427210807800293
DEP-MOD-lemma:passar	0.00000000000000000000 -0.04718056507408618927
TOK-1-pos:VERB	0.00000000000000000000 0.43340142071247100830
TOK-1-lemma:ir	0.00000000000000000000 -0.10977046936750411987
TOK-2-lemma:também	0.00000000000000000000 -0.17859188467264175415
TOK-3-pos:VMOD	0.00000000000000000000 -0.20771869271993637085
TOK-3-lemma:poder	0.00000000000000000000 -0.17858407646417617798
TOK+1-pos:REL	0.00000000000000000000 -0.20770809054374694824
TOK+1-lemma:onde	0.00000000000000000000 -0.20770096778869628906
TOK+2-pos:ADVP	0.00000000000000000000 -0.26970751583576202393
TOK+2-lemma:é_que	0.00000000000000000000 -0.26966981589794158936
TOK+3-pos:VCOP	0.00000000000000000000 -0.20765095949172973633
TOK+3-lemma:ser	0.00000000000000000000 -0.52460907399654388428
DEP-SUBJ-lemma:[_governo_]	0.00000000000000000000 -0.20761439949274063110
DEP-CDIR-lemma:aperfeiçoar	0.00000000000000000000 -0.20760723948478698730
DEP-MOD-lemma:também	0.00000000000000000000 -0.30267783999443054199
TOK-1-lemma:mas	0.00000000000000000000 -1.21700447797775268555
TOK+1-lemma:,	0.00000000000000000000 0.14324505627155303955
TOK+2-lemma:então	0.00000000000000000000 -0.50422474741935729980
TOK+3-lemma:,	0.00000000000000000000 -0.17747549712657928467
DEP-CDIR-lemma:regra	0.00000000000000000000 -0.50386075675487518311
DEP-CDIR-sem:sem-conv	0.00000000000000000000 -0.50355286896228790283
TOK+2-lemma:o_pessoa	0.00000000000000000000 -0.05206038430333137512
TOK+3-lemma:já	0.00000000000000000000 -0.05205520801246166229
DEP-CDIR-lemma:falar	0.00000000000000000000 -0.05205005221068859100
DEP-MOD-lemma:falar	0.00000000000000000000 -0.05204486846923828125
TOK-1-lemma:como	0.00000000000000000000 -0.03450572304427623749
DEP-SUBJ-pos:REL	0.00000000000000000000 0.28906986117362976074
DEP-SUBJ-lemma:que	0.00000000000000000000 0.28854176402091979980
TOK-1-lemma:jornalista	0.00000000000000000000 0.03036538604646921158
TOK-3-lemma:,	0.00000000000000000000 -0.44235958158969879150
TOK+1-lemma:muito	0.00000000000000000000 -0.11887248978018760681
TOK+2-lemma:gente	0.00000000000000000000 0.03032033331692218781
DEP-SUBJ-lemma:jornalista	0.00000000000000000000 0.03031987510621547699
DEP-MOD-lemma:usar	0.00000000000000000000 0.03031942341476678848
DEP-MOD-sem:QueF	0.00000000000000000000 0.00765862036496400833
TOK-2-lemma:ao_lado	0.00000000000000000000 -0.29729600995779037476
TOK-3-lemma:aqui	0.00000000000000000000 -0.21760053187608718872
TOK+3-lemma:tempo	0.00000000000000000000 -0.29729082435369491577
DEP-SUBJ-lemma:tempo	0.00000000000000000000 -0.29728580266237258911
DEP-MOD-lemma:mês	0.00000000000000000000 -0.21977319568395614624
DEP-MOD-lemma:permanecer	0.00000000000000000000 -0.29728153347969055176
DEP-MOD-lemma:Freamunde	0.00000000000000000000 0.07684235274791717529
TOK-2-lemma:atraso	0.00000000000000000000 -0.14915471896529197693
TOK-3-pos:PREP	0.00000000000000000000 -0.79382297396659851074
TOK-3-lemma:em	0.00000000000000000000 0.14101302623748779297
TOK+2-pos:PASTPART	0.00000000000000000000 -0.23244611918926239014
TOK+2-lemma:enfraquecer	0.00000000000000000000 -0.14903694391250610352
DEP-SUBJ-lemma:dificuldade	0.00000000000000000000 -0.65983572602272033691
DEP-MOD-lemma:muito	0.00000000000000000000 -0.01310712145641446114
TOK+1-lemma:dificuldade	0.00000000000000000000 -0.18576279282569885254
TOK+2-pos:PUNCT	0.00000000000000000000 -0.41554352641105651855
TOK+2-lemma:,	0.00000000000000000000 -0.37563940882682800293
TOK+3-lemma:porque	0.00000000000000000000 -0.18562996387481689453
TOK-2-lemma:major	0.00000000000000000000 -0.32465232908725738525
TOK+1-lemma:lá	0.00000000000000000000 -0.32463870942592620850
TOK+3-lemma:resolver	0.00000000000000000000 -0.32462520897388458252
DEP-MOD-lemma:lá	0.00000000000000000000 -0.32461163401603698730
TOK-1-pos:ART	0.00000000000000000000 0.27337261289358139038
TOK-1-lemma:o	0.00000000000000000000 0.27318125218152999878
TOK-2-lemma:sequer	0.00000000000000000000 0.09183813259005546570
TOK-3-lemma:nem	0.00000000000000000000 0.09183686971664428711
DEP-MOD-lemma:sequer	0.00000000000000000000 0.09183557704091072083
TOK-1-lemma:para	0.00000000000000000000 -0.06747278384864330292
TOK-2-lemma:esquina	0.00000000000000000000 0.01848768349736928940
TOK-3-lemma:cada	0.00000000000000000000 0.01848750468343496323
TOK+1-lemma:grupo	0.00000000000000000000 0.01848731795325875282
TOK+2-pos:PREP	0.00000000000000000000 0.61073759198188781738
TOK+2-lemma:de	0.00000000000000000000 0.16629810631275177002
TOK+3-lemma:pessoa	0.00000000000000000000 0.01849848311394453049
DEP-SUBJ-lemma:pessoa	0.00000000000000000000 0.72902941703796386719
DEP-MOD-lemma:trocar	0.00000000000000000000 0.01849627913907170296
TOK-2-lemma:não	0.00000000000000000000 0.55807855725288391113
TOK-3-lemma:que	0.00000000000000000000 0.00198996812105178833
DEP-CDIR-lemma:crítica	0.00000000000000000000 -0.35393649339675903320
DEP-MOD-lemma:política	0.00000000000000000000 -0.35391923785209655762
DEP-MOD-sem:sem-domain	0.00000000000000000000 -0.21465911716222763062
TOK-1-lemma:'	0.00000000000000000000 0.07918839529156684875
TOK-2-lemma::	0.00000000000000000000 0.30960777401924133301
TOK+2-lemma:Rui_Costa	0.00000000000000000000 0.07918557152152061462
TOK+3-lemma:e	0.00000000000000000000 0.14325014129281044006
DEP-CDIR-lemma:Rui_Costa	0.00000000000000000000 0.07918347045779228210
DEP-CDIR-lemma:Figo	0.00000000000000000000 0.07918292656540870667
TOK+2-lemma:luz	0.00000000000000000000 0.01251537865027785301
TOK-2-lemma:fundamental	0.00000000000000000000 0.09252644702792167664
TOK-3-lemma:texto	0.00000000000000000000 0.09252541139721870422
TOK+1-lemma:destaque	0.00000000000000000000 0.09252436459064483643
TOK+2-lemma:)	0.00000000000000000000 0.13953276351094245911
TOK+3-lemma:.	0.00000000000000000000 0.19172997027635574341
DEP-SUBJ-lemma:origem	0.00000000000000000000 0.09250962361693382263
DEP-CDIR-lemma:destaque	0.00000000000000000000 0.09250855818390846252
TOK-1-pos:VF	0.00000000000000000000 0.30582618713378906250
TOK-1-lemma:querer	0.00000000000000000000 0.11760525777935981750
TOK-2-pos:NP	0.00000000000000000000 -0.11961760371923446655
TOK-3-pos:REL	0.00000000000000000000 0.36664205789566040039
TOK+1-lemma:no_lugar_de	0.00000000000000000000 0.11757789924740791321
TOK+3-lemma:presidente_Habibie	0.00000000000000000000 0.11757531017065048218
TOK-2-lemma:onde	0.00000000000000000000 0.27928144484758377075
DEP-MOD-lemma:preso	0.00000000000000000000 0.16334816813468933105
DEP-MOD-pos:REL	0.00000000000000000000 0.41355866193771362305
DEP-MOD-lemma:onde	0.00000000000000000000 0.28432513028383255005
TOK-2-lemma:sem_que	0.00000000000000000000 0.15502942353487014771
DEP-CDIR-lemma:obra	0.00000000000000000000 0.15502826869487762451
TOK-1-lemma:por	0.00000000000000000000 -0.16928060352802276611
TOK-2-lemma:insatisfeito	0.00000000000000000000 -0.16927515715360641479
TOK+1-lemma:aumentar	0.00000000000000000000 -0.16926982253789901733
TOK+3-lemma:verba	0.00000000000000000000 -0.16926446557044982910
DEP-SUBJ-lemma:verba	0.00000000000000000000 -0.16925904154777526855
DEP-SUBJ-sem:sem-mon	0.00000000000000000000 -0.03541679400950670242
DEP-CDIR-lemma:aumentar	0.00000000000000000000 -0.37759120762348175049
TOK-2-lemma:caso	0.00000000000000000000 -0.90664508938789367676
DEP-SUBJ-lemma:juiz_militar	0.00000000000000000000 -0.56350815296173095703
TOK-2-lemma:visto_turístico	0.00000000000000000000 -0.15827254205942153931
TOK-3-lemma:com	0.00000000000000000000 -0.39720295369625091553
TOK+1-lemma:ontem	0.00000000000000000000 -0.15823442488908767700
TOK+3-pos:PRON	0.00000000000000000000 0.55517072975635528564
DEP-SUBJ-lemma:ano	0.00000000000000000000 -0.39415740966796875000
DEP-SUBJ-sem:sem-unitype	0.00000000000000000000 -0.67886900901794433594
DEP-CDIR-lemma:pedido_de_asilo	0.00000000000000000000 -0.15783163160085678101
DEP-MOD-lemma:ontem	0.00000000000000000000 -0.15782421827316284180
TOK-1-pos:VTEMP	0.00000000000000000000 -0.24019899219274520874
TOK-1-lemma:ter	0.00000000000000000000 -0.20430264621973037720
TOK+1-lemma:com	0.00000000000000000000 -0.42052140831947326660
TOK+3-lemma:agenda	0.00000000000000000000 -0.32604290544986724854
DEP-SUBJ-pos:NUM	0.00000000000000000000 -0.11875499784946441650
DEP-SUBJ-lemma:dois_mil	0.00000000000000000000 -0.08911354094743728638
DEP-MOD-lemma:agenda	0.00000000000000000000 -0.32601082324981689453
DEP-MOD-sem:sem-cc	0.00000000000000000000 0.04554853960871696472
DEP-MOD-lemma:ideia	0.00000000000000000000 -0.32592853903770446777
TOK-1-lemma:já	0.00000000000000000000 0.22924234718084335327
TOK+2-lemma:destruição	0.00000000000000000000 0.12949372455477714539
